day;temp;pressure;windDir(from);windSpeed;weather;cloud;temp;pressure;windDir(from);windSpeed;weather;cloud
0;1;742;270;2;1;10;2;741;270;2;0;10
1;2;733;180;3;1;10;1;725;180;3;2;10
2;1;721;225;4;2;10;0;719;225;4;2;10
3;-1;722;270;3;2;10;-6;727;270;3;0;10
4;-17;739;0;4;2;10;-16;744;0;4;2;10
5;-16;755;315;3;0;3;-17;756;315;3;2;10
6;-15;760;270;1;0;1;-17;759;270;1;0;1
7;-10;748;225;3;2;10;-11;745;225;3;0;10
8;-7;730;180;4;2;10;-8;726;180;4;2;10
9;-7;731;180;1;2;10;-6;730;180;1;2;10
10;-2;720;135;4;2;10;-2;720;135;4;2;10
11;0;728;315;3;2;10;-3;733;315;3;2;10
12;1;730;270;4;2;10;2;735;270;4;0;10
13;3;737;270;4;0;3;0;740;270;4;0;3
14;1;744;270;3;2;10;1;747;270;3;0;10
15;-1;749;180;4;0;10;0;746;180;4;2;10
16;1;746;180;3;1;10;1;744;180;3;0;10
17;1;746;225;3;0;10;0;746;225;3;0;10
18;1;751;270;2;0;10;0;752;270;2;2;10
19;-10;761;90;1;0;1;-20;762;90;1;0;1
21;-17;760;90;1;0;10;-13;759;90;1;2;10
22;-4;757;180;2;0;10;-5;755;180;2;2;10
23;-1;754;270;2;0;10;-3;757;270;2;0;10
24;-1;757;180;3;0;3;-6;757;180;3;0;3
25;-10;753;180;1;2;10;-9;753;180;1;2;10
26;-9;749;180;2;0;3;-8;748;180;2;2;10
27;-3;744;180;3;2;5;-4;743;180;3;0;5
28;-1;739;180;4;2;10;-1;739;180;4;0;10
29;0;739;180;3;2;10;-1;738;180;3;2;10
30;-1;734;135;3;0;10;2;732;135;3;1;10
0;1;730;180;6;2;5;1;733;180;6;0;10
1;0;733;225;2;0;1;-6;737;225;2;0;1
2;-6;742;0;1;0;10;-8;742;0;1;0;10
3;-7;747;315;2;2;10;-6;749;315;2;2;10
4;-7;753;0;2;2;10;-8;755;0;2;2;10
5;-5;747;225;5;0;10;-6;742;225;5;2;10
6;-3;737;225;1;0;1;-5;731;225;1;0;10
7;-1;721;180;2;2;10;-3;723;180;2;2;10
8;-7;737;315;4;2;10;-10;742;315;4;0;1
9;-5;746;225;4;0;10;-4;746;225;4;2;10
10;2;749;270;4;0;10;1;751;270;4;0;5
11;1;749;225;5;0;10;0;749;225;5;0;10
12;1;755;315;2;0;10;0;755;315;2;0;10
13;-3;752;270;2;0;10;-3;751;270;2;0;10
14;-5;756;0;8;0;5;-8;762;0;8;0;1
15;-5;769;315;3;0;1;-10;768;315;3;0;1
16;-2;767;270;2;0;1;-5;764;270;2;0;1
17;-4;750;225;4;0;10;-5;748;225;4;2;10
18;1;749;270;2;0;3;-1;746;270;2;2;10
19;3;742;270;3;0;10;2;742;270;3;0;10
20;2;743;225;4;0;10;0;745;225;4;0;10
21;3;743;225;5;0;10;0;745;225;5;0;1
22;2;749;225;2;0;10;1;750;225;2;0;10
23;5;748;180;3;0;10;5;749;180;3;0;10
24;5;753;180;2;0;1;0;754;180;2;0;1
